iteration,FacilityOpen[1],FacilityOpen[2],FacilityOpen[3],FacilityOpen[4],FacilityOpen[5],FacilityOpen[6],FacilityOpen[7],FacilityOpen[8],FacilityOpen[9],FacilityOpen[10],FacilityOpen[11],FacilityOpen[12],FacilityOpen[13],FacilityOpen[14],FacilityOpen[15]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.2,0.1,0.8999999999999999
2,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.7,0.0,0.2,0.0,0.8999999999999999
3,0.7,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.2,0.1,0.8999999999999999
4,0.8999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.8999999999999999,0.0,0.1,0.0,0.7
5,0.9999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.7,0.0,0.1,0.1,0.8999999999999999
6,0.8999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.9999999999999999,0.0,0.1,0.1,0.7
7,0.7999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.1,0.7999999999999999
8,0.7999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.7,0.0,0.1,0.0,0.9999999999999999
9,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.7,0.0,0.0,0.8999999999999999,0.0,0.1,0.1,0.8999999999999999
10,0.8999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.1,0.1,0.7999999999999999
11,0.8999999999999999,0.0,0.0,0.6,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.7,0.0,0.30000000000000004,0.0,0.8999999999999999
12,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.7,0.0,0.30000000000000004,0.0,0.7999999999999999
13,0.7999999999999999,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.7,0.0,0.1,0.2,0.9999999999999999
14,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.7,0.0,0.1,0.1,0.8999999999999999
15,0.7999999999999999,0.0,0.0,0.7,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.7999999999999999,0.0,0.2,0.1,0.8999999999999999
16,0.9999999999999999,0.0,0.0,0.6,0.0,0.0,0.1,0.8999999999999999,0.0,0.0,0.7,0.0,0.1,0.2,0.8999999999999999
