iteration,FacilityOpen[1],FacilityOpen[2],FacilityOpen[3],FacilityOpen[4],FacilityOpen[5]
0,0.0,0.0,0.0,0.0,0.0
1,0.7200000000000003,0.4000000000000001,0.27999999999999997,0.0,0.14
2,0.7600000000000003,0.4200000000000001,0.3,0.0,0.08
3,0.7400000000000003,0.4200000000000001,0.25999999999999995,0.0,0.1
4,0.8000000000000004,0.4000000000000001,0.27999999999999997,0.0,0.02
5,0.8400000000000004,0.38000000000000006,0.27999999999999997,0.0,0.0
6,0.8400000000000004,0.4200000000000001,0.25999999999999995,0.0,0.06
7,0.8400000000000004,0.34,0.3,0.0,0.04
8,0.8000000000000004,0.4000000000000001,0.19999999999999998,0.0,0.06
9,0.8600000000000004,0.5000000000000001,0.14,0.0,0.04
10,0.9000000000000005,0.36000000000000004,0.23999999999999996,0.0,0.02
11,0.9000000000000005,0.32,0.32,0.0,0.04
12,0.9000000000000005,0.36000000000000004,0.25999999999999995,0.0,0.02
13,0.9200000000000005,0.36000000000000004,0.23999999999999996,0.0,0.0
14,0.9200000000000005,0.32,0.3,0.0,0.06
15,0.8600000000000004,0.4200000000000001,0.23999999999999996,0.0,0.0
16,0.8600000000000004,0.5200000000000001,0.1,0.0,0.0
17,0.9000000000000005,0.4400000000000001,0.18,0.0,0.0
18,0.9200000000000005,0.34,0.23999999999999996,0.0,0.04
19,0.8000000000000004,0.4000000000000001,0.32,0.0,0.04
20,0.9200000000000005,0.4000000000000001,0.3,0.0,0.0
21,0.9600000000000005,0.32,0.23999999999999996,0.0,0.0
22,0.9600000000000005,0.48000000000000015,0.16,0.0,0.06
23,0.8200000000000004,0.4400000000000001,0.23999999999999996,0.0,0.04
24,0.9000000000000005,0.36000000000000004,0.32,0.0,0.02
25,0.9600000000000005,0.34,0.21999999999999997,0.0,0.04
26,0.9600000000000005,0.27999999999999997,0.27999999999999997,0.0,0.0
27,0.9000000000000005,0.34,0.36000000000000004,0.0,0.06
28,0.8800000000000004,0.4200000000000001,0.32,0.0,0.0
29,0.8400000000000004,0.46000000000000013,0.25999999999999995,0.0,0.0
30,0.9800000000000005,0.5000000000000001,0.12000000000000001,0.0,0.06
31,0.8000000000000004,0.4200000000000001,0.21999999999999997,0.0,0.04
32,0.9600000000000005,0.36000000000000004,0.25999999999999995,0.0,0.06
33,0.9000000000000005,0.4000000000000001,0.21999999999999997,0.0,0.0
34,0.9400000000000005,0.32,0.21999999999999997,0.0,0.0
35,0.9400000000000005,0.32,0.46000000000000013,0.0,0.04
36,0.9000000000000005,0.4000000000000001,0.32,0.0,0.0
37,0.9400000000000005,0.36000000000000004,0.34,0.0,0.0
38,0.8800000000000004,0.36000000000000004,0.27999999999999997,0.0,0.1
39,0.8800000000000004,0.4000000000000001,0.14,0.0,0.06
40,0.8400000000000004,0.5400000000000001,0.19999999999999998,0.0,0.04
41,0.8400000000000004,0.4200000000000001,0.21999999999999997,0.0,0.04
